pattern,rate,imputer,auroc,auroc_sd,auprc,d,d_lo,d_hi
burst,0.025,ffill,0.8892127322050444,0.0008063218327922,0.9239029874157234,-0.0002255756432279,-0.0032206777808055,0.0028441369590282
burst,0.025,linear,0.8895594557554936,0.0001059135112725,0.9241907309142734,0.0001211479072212,-0.002542183406167,0.0028243249955858
burst,0.025,zero,0.8886550998282221,0.0008150123535694,0.923783507641264,-0.0007832080200502,-0.0030213369414802,0.0013441735330819
burst,0.05,ffill,0.8867610270995842,0.0029542710330754,0.9223869061046848,-0.0026772807486882,-0.0067548745107065,0.0012365740174602
burst,0.05,linear,0.885688882787493,0.0009816816401382,0.9216580820632966,-0.0037494250607792,-0.0077358583050146,8.852105772522236e-05
burst,0.05,zero,0.8890478771835957,0.0011120968589276,0.9241439591016704,-0.0003904306646766,-0.0033279402769387,0.0024271447724891
burst,0.1,ffill,0.8850359161011142,0.0018228006137467,0.9211512677228306,-0.0044023917471581,-0.0095670877116929,0.0009645643710752
burst,0.1,linear,0.8852702918344549,0.0015586488309132,0.9212179076219146,-0.0041680160138174,-0.0092509430643733,0.0009937610515532
burst,0.1,zero,0.888976009781007,0.0011352901859606,0.9239343649040076,-0.0004622980672654,-0.0042816301336684,0.0034604753060057
burst,0.2,ffill,0.8828599471525256,0.0022754515259327,0.9197403576847476,-0.0065783606957467,-0.0130356019794661,8.591467761457342e-05
burst,0.2,linear,0.8809127805468728,0.0045846213670769,0.9181340159349316,-0.0085255273013995,-0.015192758897348,-0.0020346467166253
burst,0.2,zero,0.8860822468155408,0.0040404341187835,0.9222272146092833,-0.0033560610327315,-0.0088698735422845,0.0024099814887804
burst,0.4,ffill,0.8633155336843984,0.0011894549385123,0.9033126501152088,-0.026122774163874,-0.0356275720097403,-0.0167989415200634
burst,0.4,linear,0.865121018839233,0.0026332934176785,0.9051753394273008,-0.0243172890090394,-0.0334288362225366,-0.0152601823915921
burst,0.4,zero,0.8674800296621704,0.0009408874013142,0.9078671591392246,-0.0219582781861019,-0.0311174296354228,-0.0132466892219656
mnar,0.025,ffill,0.8900463940750752,0.0017540954972822,0.9242236935373728,0.0006080862268028,-0.0037640636650048,0.0049810707653013
mnar,0.025,linear,0.888181654980147,0.001034677682041,0.9231530086852472,-0.0012566528681253,-0.0055042039274596,0.0029365813042647
mnar,0.025,zero,0.8901364483305643,0.0004828357988173,0.9246820940666444,0.0006981404822918,-0.0031852870061165,0.0046962227014517
mnar,0.05,ffill,0.8861863812152103,0.0047474725564832,0.9223355959313206,-0.0032519266330621,-0.0089076668573743,0.0026106808566424
mnar,0.05,linear,0.8849461551819625,0.0011383076721352,0.921808487971047,-0.0044921526663099,-0.010001144656912,0.0013296931936574
mnar,0.05,zero,0.8893189199590736,0.0010579005309953,0.924154916315842,-0.0001193878891987,-0.0047157816106924,0.0049601927536598
mnar,0.1,ffill,0.873906442135301,0.0015344494169451,0.913347601161994,-0.0155318657129714,-0.0240409966623859,-0.0071419546752963
mnar,0.1,linear,0.8718984082397004,0.0030380353493737,0.9125366326846848,-0.0175398996085719,-0.0261034392646822,-0.0092057683240674
mnar,0.1,zero,0.8848575676081589,0.0022048436258776,0.9211130390482988,-0.0045807402401134,-0.0114380686915594,0.002408504360725
mnar,0.2,ffill,0.8083296372954859,0.0011135765605248,0.8709581600905539,-0.0811086705527864,-0.0964046141411734,-0.0662454290378941
mnar,0.2,linear,0.7957815888034694,0.0030525891556215,0.8622048265929222,-0.093656719044803,-0.1092453681661677,-0.0780395366090453
mnar,0.2,zero,0.8297135629335513,0.0009920774995987,0.881798386681512,-0.0597247449147211,-0.0732094347332634,-0.0461788989191407
mnar,0.4,ffill,0.7512323059521463,0.0053529282713104,0.8130341801918691,-0.138206001896126,-0.1572509437094531,-0.1189324305367571
mnar,0.4,linear,0.7459396384218975,0.0017188882874188,0.8037402408275084,-0.1434986694263749,-0.1630345362886924,-0.1239913826043924
mnar,0.4,zero,0.7471077037162194,0.0062728657958511,0.8016762241437855,-0.142330604132053,-0.162039304754551,-0.122291336231683
scatter,0.025,ffill,0.8888525151830889,0.0001302482704945,0.9236964530047468,-0.0005857926651835,-0.0022836230279464,0.0010887668321113
scatter,0.025,linear,0.8899991669248027,0.0004002506332589,0.9245034072874702,0.0005608590765302,-0.0008484523362732,0.0019547562944803
scatter,0.025,zero,0.8730182197065698,0.0008745058278901,0.914233747356949,-0.0164200881417025,-0.0218567055652662,-0.0112665462222604
scatter,0.05,ffill,0.8898962058704815,0.0006432193691922,0.9242573701978544,0.0004578980222091,-0.0017028158659585,0.0025892953637763
scatter,0.05,linear,0.8898786056902557,4.623468299982848e-05,0.924447833461771,0.0004402978419833,-0.0015045836363098,0.002338837972573
scatter,0.05,zero,0.86074942740747,0.0016014037175861,0.9055046329534264,-0.0286888804408024,-0.0362705839280535,-0.0214567169239109
scatter,0.1,ffill,0.8879821862709208,0.0010072418508617,0.923013452514904,-0.0014561215773516,-0.0043587729347691,0.0013332403648333
scatter,0.1,linear,0.888545978710822,0.0010932775934388,0.9235793021637464,-0.0008923291374503,-0.0037150054968133,0.0019789806754483
scatter,0.1,zero,0.8540311452789275,0.0012812024569649,0.9018472976963549,-0.0354071625693448,-0.0443557485192856,-0.0267860407514675
scatter,0.2,ffill,0.8872054316502869,0.0013754305312105,0.9226955138232916,-0.0022328761979855,-0.0062717046684403,0.0017763541729682
scatter,0.2,linear,0.8868915617695925,0.0008044307691291,0.9221615793948162,-0.0025467460786798,-0.0068985546505234,0.0017415669077593
scatter,0.2,zero,0.851162609238452,0.0013547744683218,0.8986982006108489,-0.0382756986098203,-0.047849803374063,-0.0288807967038275
scatter,0.4,ffill,0.8788500394244037,0.002373754942011,0.9178311196041142,-0.0105882684238686,-0.0173850952373649,-0.0040825724786338
scatter,0.4,linear,0.8691036462880047,0.0015669598538934,0.9116141412553906,-0.0203346615602676,-0.0280628560049853,-0.0124208342241522
scatter,0.4,zero,0.8210463541813335,0.0036261753801082,0.8727560808807583,-0.0683919536669388,-0.0821799170191914,-0.0550489191941028
