feature,importance
II_skew,0.023476379
V6_relpow_15_40,0.0209437
V4_skew,0.018926406
V1_relpow_0.5_4,0.018426554
III_min,0.013488036
I_relpow_15_40,0.012889646
V3_relpow_0.5_4,0.012818436
V4_zero_cross_rate,0.012031569
V4_relpow_0.5_4,0.010851053
V4_diff_std,0.010639477
II_rms,0.010525987
aVR_hjorth_activity,0.0104701845
aVF_skew,0.009843345
aVL_relpow_15_40,0.009800364
aVR_skew,0.009641453
aVL_rms,0.009554766
aVR_diff_std,0.009060307
aVR_zero_cross_rate,0.008702964
II_std,0.00867417
aVR_rms,0.008402721
V3_skew,0.008334536
II_max,0.008151541
V2_relpow_4_15,0.008056522
V5_relpow_4_15,0.007795245
V1_relpow_15_40,0.007737262
V1_diff_absmean,0.007503198
V4_rms,0.0073318384
V4_relpow_15_40,0.007163729
V1_relpow_4_15,0.006979486
aVR_kurtosis,0.0069273026
V2_relpow_15_40,0.0068328925
III_relpow_15_40,0.0066616107
aVR_std,0.006621737
V5_diff_std,0.0066176536
I_zero_cross_rate,0.0065736175
V4_relpow_4_15,0.0065251105
aVL_diff_std,0.006460545
V5_relpow_15_40,0.00641447
III_std,0.006275762
aVR_min,0.0062592453
V2_relpow_0.5_4,0.0062343343
aVL_std,0.0062321927
V4_max,0.0062071704
V4_diff_absmean,0.0061440836
III_rms,0.006129743
V3_kurtosis,0.0060199797
V3_relpow_4_15,0.0059482623
I_max,0.005941683
I_skew,0.005827812
V5_zero_cross_rate,0.0056396835
III_hjorth_activity,0.0056006475
V5_max,0.0055830046
aVR_relpow_15_40,0.0055769063
aVL_diff_absmean,0.0055760313
aVR_relpow_4_15,0.005516434
V4_hjorth_activity,0.0054508075
aVL_max,0.005413454
V5_skew,0.0053319368
V1_skew,0.0052850284
V1_kurtosis,0.005268533
aVR_relpow_0.5_4,0.0052156313
V2_zero_cross_rate,0.0051995832
V5_std,0.005183941
III_diff_absmean,0.005171647
V5_diff_absmean,0.0051424857
V2_skew,0.0051266756
V3_relpow_15_40,0.0050356393
III_hjorth_mobility,0.005002904
V2_min,0.005001797
I_rms,0.0049987077
V6_max,0.00495919
V3_zero_cross_rate,0.004924525
V4_hjorth_complexity,0.004852308
II_relpow_4_15,0.0048220255
II_zero_cross_rate,0.0048199897
V5_relpow_0.5_4,0.004760669
II_diff_absmean,0.004740825
V4_std,0.004731344
I_relpow_4_15,0.004700858
III_diff_std,0.004647056
V1_zero_cross_rate,0.0046011996
II_diff_std,0.004596816
V4_kurtosis,0.004584662
V6_relpow_4_15,0.004536434
V1_min,0.004527874
aVF_min,0.004496535
aVR_diff_absmean,0.0044617043
aVL_hjorth_complexity,0.0044386145
II_relpow_0.5_4,0.0044379192
II_hjorth_activity,0.004435196
V3_rms,0.0044318894
V6_std,0.0044030393
I_hjorth_mobility,0.004391396
V5_kurtosis,0.004326344
V6_hjorth_mobility,0.0042265323
V6_kurtosis,0.0042123366
V4_min,0.004185064
V6_diff_absmean,0.004103896
I_diff_std,0.0040932903
V5_hjorth_mobility,0.0040866234
V2_max,0.00407756
I_kurtosis,0.0040495773
III_skew,0.0040435363
V3_max,0.004037854
aVR_max,0.004030695
V6_diff_std,0.003988463
V2_kurtosis,0.003981815
aVF_relpow_4_15,0.003943279
III_hjorth_complexity,0.003940853
aVF_kurtosis,0.0039388007
aVF_diff_std,0.003914174
aVL_skew,0.0038857155
aVL_hjorth_activity,0.0038702562
III_relpow_0.5_4,0.0038681205
II_relpow_15_40,0.0038519055
II_kurtosis,0.0038327966
V2_hjorth_activity,0.003831147
V1_rms,0.0037783356
V1_std,0.0037594612
V1_max,0.003740153
II_hjorth_mobility,0.003725521
V2_diff_absmean,0.0037253145
V5_mean,0.003723988
V3_diff_absmean,0.003721982
aVF_std,0.003685899
V2_std,0.0036841964
aVR_hjorth_mobility,0.0036482904
V6_relpow_0.5_4,0.0036482506
V1_hjorth_complexity,0.0036476597
aVF_hjorth_mobility,0.0036355902
aVF_relpow_0.5_4,0.0036314593
aVF_relpow_15_40,0.003630438
aVF_rms,0.0036243268
aVF_diff_absmean,0.003615478
V5_min,0.0035861328
V1_mean,0.0035625733
V6_min,0.0035572292
V3_min,0.003553832
I_min,0.0035395082
I_relpow_0.5_4,0.0035368549
V3_hjorth_complexity,0.0035024758
II_hjorth_complexity,0.0034919707
V5_rms,0.0034894955
aVL_relpow_4_15,0.0034678746
V6_skew,0.0034444872
aVF_max,0.0034337838
V3_hjorth_mobility,0.0034261828
aVL_mean,0.0034143508
aVR_mean,0.0034006832
V4_mean,0.0033949243
V6_zero_cross_rate,0.0033799808
V5_hjorth_complexity,0.0033718601
V2_rms,0.0033671905
aVL_relpow_0.5_4,0.003357299
V4_hjorth_mobility,0.0033495806
I_hjorth_complexity,0.0033373125
aVL_kurtosis,0.0033022475
