feature,importance
III_min,0.036802676
II_skew,0.029459953
V1_relpow_15_40,0.022417597
V6_relpow_15_40,0.020605424
V4_skew,0.020450085
aVR_zero_cross_rate,0.0153682055
V4_zero_cross_rate,0.014756159
V1_relpow_0.5_4,0.0144300675
V4_relpow_0.5_4,0.014172847
V5_max,0.012757428
aVF_skew,0.011605523
aVR_rms,0.010981812
aVR_relpow_15_40,0.0102389855
V3_relpow_0.5_4,0.010184218
aVL_rms,0.010156344
aVR_skew,0.010037743
aVR_hjorth_activity,0.009911516
V1_skew,0.009337236
V5_diff_std,0.009256172
V3_skew,0.008835816
V3_relpow_4_15,0.008783853
I_relpow_15_40,0.008689539
III_relpow_15_40,0.008321797
II_rms,0.007895554
I_relpow_4_15,0.007857527
V4_relpow_15_40,0.007851713
aVR_std,0.0075206407
V1_diff_absmean,0.0073939874
V3_relpow_15_40,0.007333766
II_hjorth_activity,0.007303033
V5_skew,0.0071145375
V2_relpow_4_15,0.0071127894
V2_relpow_0.5_4,0.006875217
V5_relpow_4_15,0.0067207157
aVR_min,0.0067051207
aVL_std,0.0063646026
V1_rms,0.0063463333
V4_relpow_4_15,0.0063161566
V5_zero_cross_rate,0.006314713
III_hjorth_activity,0.006314469
I_skew,0.006257294
III_rms,0.006195188
aVR_relpow_4_15,0.005992582
V5_hjorth_activity,0.0059363544
V4_rms,0.0058963173
III_diff_absmean,0.0058392384
V4_hjorth_activity,0.0057458836
aVR_diff_std,0.0056674466
II_std,0.00562845
aVL_relpow_15_40,0.0055804444
V5_rms,0.00533133
II_zero_cross_rate,0.005249157
V1_relpow_4_15,0.00516682
aVR_diff_absmean,0.005115422
V3_zero_cross_rate,0.005051544
II_max,0.005017458
aVL_hjorth_activity,0.004995068
III_diff_std,0.004982659
V1_hjorth_complexity,0.004892592
V2_relpow_15_40,0.0048677274
aVR_kurtosis,0.0048663295
V6_relpow_0.5_4,0.0048406585
V5_std,0.004809722
aVR_relpow_0.5_4,0.0047477316
V4_std,0.0047373543
V6_diff_std,0.0046457644
V3_min,0.0045554494
V3_kurtosis,0.004535572
V4_max,0.0044981395
I_rms,0.004411717
V2_min,0.0044051358
V5_diff_absmean,0.004391828
V2_hjorth_activity,0.0043694703
aVR_hjorth_complexity,0.0043536494
V4_diff_std,0.004300069
II_diff_std,0.004188957
aVL_max,0.0041651777
V1_hjorth_activity,0.0041265064
V5_relpow_15_40,0.0040875166
II_diff_absmean,0.004066174
III_std,0.004061608
V6_hjorth_activity,0.003993595
V1_zero_cross_rate,0.003991519
V6_rms,0.0039908066
V2_zero_cross_rate,0.0039882823
II_relpow_0.5_4,0.003982105
aVL_diff_absmean,0.0039532813
V1_min,0.0039473134
II_relpow_4_15,0.0039396
V3_rms,0.0039301845
V6_diff_absmean,0.003902154
aVF_min,0.0038048357
V5_relpow_0.5_4,0.0037742406
I_zero_cross_rate,0.0037127517
II_relpow_15_40,0.0037012163
aVF_relpow_0.5_4,0.0036967527
aVF_hjorth_complexity,0.0036897964
aVF_relpow_4_15,0.0036706368
aVF_relpow_15_40,0.0036623746
V2_max,0.0036319112
V1_kurtosis,0.0036261107
V2_skew,0.0036182099
V3_hjorth_complexity,0.0036124855
III_relpow_0.5_4,0.0035827411
aVL_diff_std,0.0035655443
V1_std,0.0035579961
aVF_rms,0.003512971
V3_max,0.0035102756
V6_max,0.0034927304
III_hjorth_complexity,0.003480404
V2_rms,0.003453708
V5_hjorth_complexity,0.0034422327
aVF_max,0.0034404618
V2_hjorth_complexity,0.0034018594
V6_skew,0.0033993132
I_kurtosis,0.0033613357
III_max,0.0033325742
V6_std,0.003312176
I_hjorth_activity,0.0033053479
I_hjorth_complexity,0.003296734
V3_hjorth_activity,0.0032717548
aVL_relpow_4_15,0.0032675106
V4_min,0.003260839
aVR_max,0.0032520248
V6_min,0.0032512976
V3_diff_absmean,0.0032409758
V6_relpow_4_15,0.0032287445
aVL_hjorth_complexity,0.0031998067
III_zero_cross_rate,0.0031810913
aVL_relpow_0.5_4,0.0031741771
V4_kurtosis,0.003170408
II_hjorth_complexity,0.0031692644
V2_std,0.0031577877
I_min,0.0031514254
V3_diff_std,0.0031503867
V3_std,0.0030960923
aVF_kurtosis,0.003094951
V3_hjorth_mobility,0.0030896312
V2_diff_std,0.0030887749
V1_hjorth_mobility,0.0030804446
III_kurtosis,0.0030770383
I_max,0.003066796
V1_mean,0.0030632506
V4_diff_absmean,0.0030632373
V1_max,0.003060215
V6_zero_cross_rate,0.0030511694
V2_diff_absmean,0.0030413365
aVL_kurtosis,0.0030256563
III_skew,0.0030240996
I_hjorth_mobility,0.002995588
V5_min,0.0029741705
aVF_diff_std,0.0029627562
aVF_std,0.002950348
V2_hjorth_mobility,0.002928531
aVL_skew,0.0029224353
V4_hjorth_mobility,0.0029092382
V5_hjorth_mobility,0.0029064652
II_kurtosis,0.0028995106
aVL_zero_cross_rate,0.0028889335
aVL_min,0.002887963
V2_kurtosis,0.0028820473
I_diff_absmean,0.0028510988
II_hjorth_mobility,0.0028478568
I_std,0.0028284779
aVF_hjorth_activity,0.0027950627
V1_diff_std,0.0027929053
aVR_hjorth_mobility,0.0027902026
V6_hjorth_complexity,0.0027829995
aVF_hjorth_mobility,0.0027762456
III_relpow_4_15,0.0027605712
V3_mean,0.0027578634
V4_hjorth_complexity,0.0027458165
V5_kurtosis,0.0027350157
I_relpow_0.5_4,0.0027299693
V6_hjorth_mobility,0.002726278
V5_mean,0.0026946552
V6_kurtosis,0.0026920855
II_min,0.0026917125
II_mean,0.0026435887
III_mean,0.0026183892
aVF_mean,0.0026027013
aVF_diff_absmean,0.0025944477
aVL_hjorth_mobility,0.002590515
V4_mean,0.0025577822
