pattern,rate,method,mae,rmse
scatter,0.025,zero,0.12119563668966293,0.2466718703508377
scatter,0.025,ffill,0.04024827107787132,0.1323041170835495
scatter,0.025,linear,0.021813448518514633,0.0760003998875618
scatter,0.05,zero,0.12154845148324966,0.2460344135761261
scatter,0.05,ffill,0.04176965728402138,0.13713835179805756
scatter,0.05,linear,0.022842025384306908,0.08057434111833572
scatter,0.1,zero,0.12112680077552795,0.2468419373035431
scatter,0.1,ffill,0.04352342709898949,0.14439883828163147
scatter,0.1,linear,0.023949939757585526,0.08533744513988495
scatter,0.2,zero,0.12120293080806732,0.24628899991512299
scatter,0.2,ffill,0.04644112288951874,0.15315605700016022
scatter,0.2,linear,0.026548700407147408,0.09472444653511047
scatter,0.4,zero,0.12136019766330719,0.24667127430438995
scatter,0.4,ffill,0.055652257055044174,0.1786736249923706
scatter,0.4,linear,0.033901527523994446,0.11987591534852982
burst,0.025,zero,0.11888135969638824,0.23474250733852386
burst,0.025,ffill,0.10732010751962662,0.2558838129043579
burst,0.025,linear,0.08214473724365234,0.21399958431720734
burst,0.05,zero,0.11882923543453217,0.23516486585140228
burst,0.05,ffill,0.12719516456127167,0.2878091633319855
burst,0.05,linear,0.10316187143325806,0.23931409418582916
burst,0.1,zero,0.11923054605722427,0.23782961070537567
burst,0.1,ffill,0.1390855461359024,0.29060134291648865
burst,0.1,linear,0.11746490001678467,0.25392699241638184
burst,0.2,zero,0.11863081902265549,0.23763522505760193
burst,0.2,ffill,0.14337339997291565,0.29586416482925415
burst,0.2,linear,0.12592293322086334,0.2601238787174225
burst,0.4,zero,0.1179349273443222,0.23725128173828125
burst,0.4,ffill,0.15524253249168396,0.31117236614227295
burst,0.4,linear,0.13282489776611328,0.2682608366012573
mnar,0.025,zero,0.25307756662368774,0.4709937572479248
mnar,0.025,ffill,0.25822725892066956,0.5024089813232422
mnar,0.025,linear,0.22892282903194427,0.4430290162563324
mnar,0.05,zero,0.215970978140831,0.41523006558418274
mnar,0.05,ffill,0.2227150797843933,0.45827457308769226
mnar,0.05,linear,0.19754953682422638,0.40476247668266296
mnar,0.1,zero,0.1926565319299698,0.3797812759876251
mnar,0.1,ffill,0.21180950105190277,0.4385841190814972
mnar,0.1,linear,0.1858312338590622,0.3863537609577179
mnar,0.2,zero,0.18930236995220184,0.3718261122703552
mnar,0.2,ffill,0.1968926638364792,0.4023534059524536
mnar,0.2,linear,0.17725008726119995,0.3719044029712677
mnar,0.4,zero,0.16718153655529022,0.33100032806396484
mnar,0.4,ffill,0.1576741486787796,0.3276095688343048
mnar,0.4,linear,0.14525075256824493,0.3157428801059723
