k,imputer,auroc,auroc_sd,auprc,d,d_lo,d_hi
1,ffill,0.8794983127293889,0.002465821105088883,0.9174699483055768,-0.009939995118883363,-0.016549283713163106,-0.00375676840977286
1,linear,0.8834725800925535,0.0011842763842121046,0.9198179434376578,-0.005965727755718908,-0.012364127743594749,-0.00010079261600064381
1,zero,0.8867498803187744,9.967049037468517e-05,0.9224894869526358,-0.0026884275294979387,-0.008392456857362684,0.0030388007038015708
2,ffill,0.8828599471525256,0.0022754515259327014,0.9197403576847477,-0.006578360695746799,-0.013035601979466108,8.591467761457342e-05
2,linear,0.8809127805468728,0.004584621367076918,0.9181340159349317,-0.008525527301399586,-0.015192758897348094,-0.0020346467166253157
2,zero,0.8860822468155408,0.004040434118783587,0.9222272146092831,-0.003356061032731598,-0.008869873542284587,0.0024099814887804803
5,ffill,0.8785968901654888,0.0028663951371504116,0.916782545978584,-0.010841417682783646,-0.017827425195090858,-0.003571177943351433
5,linear,0.8770328208160851,0.0028508259664142134,0.9159015586879126,-0.012405487032187171,-0.01979859357714286,-0.005054874947849879
5,zero,0.8858317375836595,0.0006431079924631063,0.921869782184436,-0.003606570264612863,-0.009204248944186734,0.0021632966416846168
10,ffill,0.8740262700290051,0.002680199203616482,0.9138155553337685,-0.01541203781926733,-0.023286686864307866,-0.007275877929223965
10,linear,0.8721106370795905,0.00020857760642823195,0.9128200488357678,-0.017327670768682024,-0.025019002092062332,-0.009530926622790589
10,zero,0.8834477931720688,0.0007776612961277176,0.9192214137458699,-0.005990514676203633,-0.011876051558821382,-0.0005338549427082578
20,ffill,0.8737638806754715,0.0028790911127257366,0.9138824080664428,-0.01567442717280095,-0.023258803582887164,-0.008021385976395961
20,linear,0.8752229356161939,0.0028157841188295608,0.9150672417616957,-0.01421537223207836,-0.02135443645753182,-0.006843980475358044
20,zero,0.8796872213304798,0.0008807770706516499,0.9176281208599208,-0.009751086517792587,-0.015876761881037545,-0.0036825741893403464
