sqi,coverage,auroc_mean,auroc_sd
missing_frac,0.15,0.8919,0.0028
missing_frac,0.2,0.8883,0.0032
missing_frac,0.25,0.8877,0.005
missing_frac,0.3,0.8837,0.0049
missing_frac,0.35,0.8821,0.008
missing_frac,0.4,0.8836,0.0078
missing_frac,0.45,0.8856,0.0072
missing_frac,0.5,0.8833,0.0091
missing_frac,0.55,0.8802,0.0086
missing_frac,0.6,0.8732,0.0097
missing_frac,0.65,0.8686,0.0087
missing_frac,0.7,0.8659,0.0089
missing_frac,0.75,0.8665,0.0086
missing_frac,0.8,0.864,0.0082
missing_frac,0.85,0.8581,0.0066
missing_frac,0.9,0.8534,0.0066
missing_frac,0.95,0.8479,0.0068
missing_frac,1.0,0.8443,0.0057
flat_frac,0.15,0.8771,0.006
flat_frac,0.2,0.88,0.0059
flat_frac,0.25,0.876,0.003
flat_frac,0.3,0.8727,0.0103
flat_frac,0.35,0.8738,0.0097
flat_frac,0.4,0.8652,0.0077
flat_frac,0.45,0.8644,0.0107
flat_frac,0.5,0.8652,0.0099
flat_frac,0.55,0.8637,0.0083
flat_frac,0.6,0.8619,0.0097
flat_frac,0.65,0.859,0.0088
flat_frac,0.7,0.8562,0.0086
flat_frac,0.75,0.8554,0.0093
flat_frac,0.8,0.8528,0.0066
flat_frac,0.85,0.8506,0.0056
flat_frac,0.9,0.8484,0.0054
flat_frac,0.95,0.8458,0.0052
flat_frac,1.0,0.8443,0.0057
max_gap,0.15,0.8919,0.0028
max_gap,0.2,0.8877,0.0033
max_gap,0.25,0.8861,0.0036
max_gap,0.3,0.8899,0.0078
max_gap,0.35,0.8927,0.0076
max_gap,0.4,0.8964,0.0103
max_gap,0.45,0.8936,0.0118
max_gap,0.5,0.8878,0.0143
max_gap,0.55,0.882,0.0144
max_gap,0.6,0.8803,0.0117
max_gap,0.65,0.8768,0.0114
max_gap,0.7,0.8737,0.0094
max_gap,0.75,0.8669,0.009
max_gap,0.8,0.8554,0.0095
max_gap,0.85,0.8476,0.0072
max_gap,0.9,0.8451,0.0058
max_gap,0.95,0.8441,0.0047
max_gap,1.0,0.8443,0.0057
random,0.15,0.836,0.011
random,0.2,0.8309,0.0109
random,0.25,0.833,0.0156
random,0.3,0.8324,0.0119
random,0.35,0.8364,0.0109
random,0.4,0.8425,0.011
random,0.45,0.8416,0.0092
random,0.5,0.8401,0.008
random,0.55,0.8366,0.0071
random,0.6,0.8377,0.0071
random,0.65,0.8384,0.0065
random,0.7,0.8415,0.0056
random,0.75,0.8438,0.0067
random,0.8,0.846,0.0066
random,0.85,0.8436,0.0061
random,0.9,0.842,0.0062
random,0.95,0.8434,0.0061
random,1.0,0.8443,0.0057
